event_id,repo_family,branch_id,step_id,command,canonical_tool_key,command_class,safety_level,safety_reason,answerable_by_artifact,artifact_keys,artifact_types,workspace_snapshot_hash,snapshot_hash_source,snapshot_hash_available
astropy__astropy-12907:b1:tool3,astropy,b1,7,cat ./astropy/modeling/separable.py,file_read:cat astropy/modeling/separable.py:c887df509719dbf8,file_read,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""FILE_CONTENT:astropy/modeling/separable.py:*""]","[""FILE_CONTENT""]",3d0f1e1e8f581fdf,trace_branch_step_fallback,true
astropy__astropy-12907:b1:tool4,astropy,b1,9,"sed -i 's|elif isinstance(transform, CompoundModel):|elif isinstance(transform, CompoundModel):\\n    return _separable(transform)|' ./astropy/modeling/separable.py","file_read:sed -i s|elif isinstance(transform, CompoundModel):|elif isinstance(transform, CompoundModel):\\n return _separable(transform)| astropy/modeling/separable.py:6a274d67ab833fab",file_read,UNSAFE,matched:\bsed\s+-i\b,false,[],[],918f9f407b89a80e,trace_branch_step_fallback,true
astropy__astropy-12907:b1:tool5,astropy,b1,11,git diff -- ./astropy/modeling/separable.py > patch.txt,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,git_read,UNSAFE,matched:>\s*[^&],false,[],[],c3de79f947b134b0,trace_branch_step_fallback,true
astropy__astropy-12907:b1:tool6,astropy,b1,13,cat patch.txt,file_read:cat patch.txt:cb7e5fa551f9866a,file_read,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""FILE_CONTENT:patch.txt:*""]","[""FILE_CONTENT""]",8354747fbcac8d20,trace_branch_step_fallback,true
astropy__astropy-12907:b1:tool7,astropy,b1,15,echo COMPLETE_TASK_AND_SUBMIT_FINAL_OUTPUT && cat patch.txt,file_read:shell-chain:14dc06def76579e8,file_read,UNKNOWN,not_whitelisted,false,[],[],a10f631b8d484e8e,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool0,astropy,b2,1,"grep -r ""def separability_matrix"" .",grep_search:grep -r def separability_matrix .:0fb2f6bfa2e26527,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:def separability_matrix""]","[""GREP_INDEX""]",05bdf8e07d34bcbd,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool1,astropy,b2,3,nano ./astropy/modeling/separable.py,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,shell_other,UNKNOWN,not_whitelisted,false,[],[],7f4247fff320a6e3,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool2,astropy,b2,5,vim ./astropy/modeling/separable.py,shell_other:vim astropy/modeling/separable.py:4df1725e10381f13,shell_other,UNKNOWN,not_whitelisted,false,[],[],30739c9d8803691f,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool3,astropy,b2,7,less ./astropy/modeling/separable.py,file_read:less astropy/modeling/separable.py:5493b8a6bd236676,file_read,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""FILE_CONTENT:astropy/modeling/separable.py:*""]","[""FILE_CONTENT""]",ce99171afe26bd7b,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool4,astropy,b2,9,nano ./astropy/modeling/separable.py,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,shell_other,UNKNOWN,not_whitelisted,false,[],[],1ee0839c8be60719,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool5,astropy,b2,11,vim ./astropy/modeling/separable.py,shell_other:vim astropy/modeling/separable.py:4df1725e10381f13,shell_other,UNKNOWN,not_whitelisted,false,[],[],f37099417d759600,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool6,astropy,b2,13,less ./astropy/modeling/separable.py,file_read:less astropy/modeling/separable.py:5493b8a6bd236676,file_read,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""FILE_CONTENT:astropy/modeling/separable.py:*""]","[""FILE_CONTENT""]",987fbfc766ab088f,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool7,astropy,b2,15,nano ./astropy/modeling/separable.py,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,shell_other,UNKNOWN,not_whitelisted,false,[],[],c0309c3eb8ac5e5e,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool8,astropy,b2,17,vim ./astropy/modeling/separable.py,shell_other:vim astropy/modeling/separable.py:4df1725e10381f13,shell_other,UNKNOWN,not_whitelisted,false,[],[],f40870612cbc8489,trace_branch_step_fallback,true
astropy__astropy-12907:b2:tool9,astropy,b2,19,less ./astropy/modeling/separable.py,file_read:less astropy/modeling/separable.py:5493b8a6bd236676,file_read,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""FILE_CONTENT:astropy/modeling/separable.py:*""]","[""FILE_CONTENT""]",b9560a97ad573da9,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool0,astropy,b3,1,touch reproduce_issue.py,shell_other:touch reproduce_issue.py:dc094ace15c7bfc4,shell_other,UNSAFE,matched:(^|[;&|]\s*)touch\s,false,[],[],fe5b1f6a8eb0df89,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool1,astropy,b3,3,"echo ""from astropy.modeling import models as m"" >> reproduce_issue.py
echo ""from astropy.modeling.separable import separability_matrix"" >> reproduce_issue.py
echo """" >> reproduce_issue.py
echo ""cm = m.Linear1D(10) & m.Linear1D(5)"" >> reproduce_issue.py
echo ""print('Separability matrix for nested CompoundModel:', separability_matrix(m.Pix2Sky_TAN() & cm))"" >> reproduce_issue.py","shell_other:echo from astropy.modeling import models as m >> reproduce_issue.py echo from astropy.modeling.separable import separability_matrix >> reproduce_issue.py echo . >> reproduce_issue.py echo cm = m.Linear1D(10) & m.Linear1D(5) >> reproduce_issue.py echo print('Separability matrix for nested CompoundModel:', separability_matrix(m.Pix2Sky_TAN() & cm)) >> reproduce_issue.py:6798ffb7a471dd08",shell_other,UNSAFE,matched:>\s*[^&],false,[],[],8ce5a3279bcbdb95,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool2,astropy,b3,5,python reproduce_issue.py,python_inspect:python reproduce_issue.py:0e557e2abf644304,python_inspect,SAFE_READ_ONLY_EXACT,python_inspection_readonly,true,"[""PYTHON_INSPECTION_RESULT:.:python_inspect:python reproduce_issue.py:0e557e2abf644304""]","[""PYTHON_INSPECTION_RESULT""]",712ea485937ad5ad,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool3,astropy,b3,7,pip install erfa,shell_other:pip install erfa:736717e2e94d5308,shell_other,UNSAFE,matched:\b(pip|uv|poetry|npm|pnpm|yarn)\s+(install|add|remove|publish|update|upgrade)\b,false,[],[],d977446443bef912,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool4,astropy,b3,9,pip install erfa-py,shell_other:pip install erfa-py:41eabeac8d9aa840,shell_other,UNSAFE,matched:\b(pip|uv|poetry|npm|pnpm|yarn)\s+(install|add|remove|publish|update|upgrade)\b,false,[],[],f538a16e9c92940c,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool5,astropy,b3,11,"wget https://github.com/liberfa/erfa/archive/refs/tags/v1.8.0.tar.gz
tar -xzf v1.8.0.tar.gz
cd erfa-1.8.0
./configure
make
sudo make install
cd ..
rm -rf erfa-1.8.0 v1.8.0.tar.gz",shell_other:wget https://github.com/liberfa/erfa/archive/refs/tags/v1.8.0.tar.gz tar -xzf v1.8.0.tar.gz cd erfa-1.8.0 configure make sudo make install cd .. rm -rf erfa-1.8.0 v1.8.0.tar.gz:76ef78ab49bd7eeb,shell_other,UNKNOWN,not_whitelisted,false,[],[],20b0ffb056504e6f,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool6,astropy,b3,13,"sudo apt-get update
sudo apt-get install liberfa-dev",shell_other:sudo apt-get update sudo apt-get install liberfa-dev:5b77bc052d1d5ded,shell_other,UNKNOWN,not_whitelisted,false,[],[],f5f3593ff405cb6b,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool7,astropy,b3,15,pip install erfa,shell_other:pip install erfa:736717e2e94d5308,shell_other,UNSAFE,matched:\b(pip|uv|poetry|npm|pnpm|yarn)\s+(install|add|remove|publish|update|upgrade)\b,false,[],[],277d1717791501ae,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool8,astropy,b3,17,conda install -c conda-forge erfa,shell_other:conda install -c conda-forge erfa:f50c3ff1ddab90d9,shell_other,UNKNOWN,not_whitelisted,false,[],[],18f14a6d14cebc7c,trace_branch_step_fallback,true
astropy__astropy-12907:b3:tool9,astropy,b3,19,pip install erfa --index-url=https://pypi.org/simple,shell_other:pip install erfa --index-url=https://pypi.org/simple:fa3e38745224b858,shell_other,UNSAFE,matched:\b(pip|uv|poetry|npm|pnpm|yarn)\s+(install|add|remove|publish|update|upgrade)\b,false,[],[],ff89517b120bc1f1,trace_branch_step_fallback,true
django__django-11815:b0:tool0,django,b0,1,"grep -r ""default="" *.py | grep -E ""Enum\(|CharField""",grep_search:shell-chain:648d6653de8ef22c,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:*.py:default=""]","[""GREP_INDEX""]",2ab887504cc9bf7a,trace_branch_step_fallback,true
django__django-11815:b0:tool1,django,b0,3,"grep -r ""models.py"" *.py | grep -E ""Enum|CharField""",grep_search:shell-chain:b081cee4b4082176,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:*.py:models.py""]","[""GREP_INDEX""]",f45432fb450684eb,trace_branch_step_fallback,true
django__django-11815:b0:tool2,django,b0,5,"echo ""from enum import Enum
from django.db import models

class Status(Enum):
    GOOD = 'Good'
    BAD = 'Bad'

class Item(models.Model):
    status = models.CharField(default=Status.GOOD.value, max_length=128)"" > models.py

python manage.py makemigrations > migration_output.txt
cat migration_output.txt","file_read:echo from enum import Enum from django.db import models class Status(Enum): GOOD = 'Good' BAD = 'Bad' class Item(models.Model): status = models.CharField(default=Status.GOOD.value, max_length=128) > models.py python manage.py makemigrations > migration_output.txt cat migration_output.txt:1b07ba77fb8edb72",file_read,UNSAFE,matched:>\s*[^&],false,[],[],aeaaeec8d3996369,trace_branch_step_fallback,true
django__django-11815:b0:tool3,django,b0,7,ls -la,list_find:ls -la:1de700c29687cae3,list_find,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING""]",2aaba2ae9b780c61,trace_branch_step_fallback,true
django__django-11815:b0:tool4,django,b0,9,"echo ""from enum import Enum
from django.db import models

class Status(Enum):
    GOOD = 'Good'
    BAD = 'Bad'

class Item(models.Model):
    status = models.CharField(default=Status.GOOD.value, max_length=128)"" > models.py

python manage.py makemigrations > migration_output.txt
cat migration_output.txt","file_read:echo from enum import Enum from django.db import models class Status(Enum): GOOD = 'Good' BAD = 'Bad' class Item(models.Model): status = models.CharField(default=Status.GOOD.value, max_length=128) > models.py python manage.py makemigrations > migration_output.txt cat migration_output.txt:1b07ba77fb8edb72",file_read,UNSAFE,matched:>\s*[^&],false,[],[],8c07825b6a5eb465,trace_branch_step_fallback,true
django__django-11815:b0:tool5,django,b0,11,cd django && python manage.py makemigrations > ../migration_output.txt && cat ../migration_output.txt,file_read:shell-chain:0cc2bff162f39489,file_read,UNSAFE,matched:>\s*[^&],false,[],[],8313a3b9f916e66d,trace_branch_step_fallback,true
django__django-11815:b0:tool6,django,b0,13,ls -la,list_find:ls -la:1de700c29687cae3,list_find,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING""]",71d80a9ec8f7a112,trace_branch_step_fallback,true
django__django-11815:b0:tool7,django,b0,15,"echo ""from enum import Enum
from django.db import models

class Status(Enum):
    GOOD = 'Good'
    BAD = 'Bad'

class Item(models.Model):
    status = models.CharField(default=Status.GOOD.value, max_length=128)"" > models.py

python manage.py makemigrations > migration_output.txt
cat migration_output.txt","file_read:echo from enum import Enum from django.db import models class Status(Enum): GOOD = 'Good' BAD = 'Bad' class Item(models.Model): status = models.CharField(default=Status.GOOD.value, max_length=128) > models.py python manage.py makemigrations > migration_output.txt cat migration_output.txt:1b07ba77fb8edb72",file_read,UNSAFE,matched:>\s*[^&],false,[],[],d90f1e8165bc00e6,trace_branch_step_fallback,true
django__django-11815:b0:tool8,django,b0,17,cd django && python manage.py makemigrations > ../migration_output.txt && cat ../migration_output.txt,file_read:shell-chain:0cc2bff162f39489,file_read,UNSAFE,matched:>\s*[^&],false,[],[],e077144b58b1cfb4,trace_branch_step_fallback,true
django__django-11815:b0:tool9,django,b0,19,ls -la,list_find:ls -la:1de700c29687cae3,list_find,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING""]",97e094305d7ed2c1,trace_branch_step_fallback,true
django__django-11815:b1:tool0,django,b1,1,"grep -r ""Item"" *.py | grep ""migrations""",grep_search:shell-chain:465d426ff1154932,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:*.py:Item""]","[""GREP_INDEX""]",9d3247a68a3a5417,trace_branch_step_fallback,true
django__django-11815:b1:tool1,django,b1,3,"grep -r ""Status"" *.py",grep_search:grep -r Status *.py:25e30594a0d2b039,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:*.py:Status""]","[""GREP_INDEX""]",d2d4aa9ca6204032,trace_branch_step_fallback,true
django__django-11815:b1:tool2,django,b1,5,"echo ""from enum import Enum
from django.utils.translation import gettext_lazy as _
from django.db import models

class Status(Enum):
    GOOD = _('Good')
    BAD = _('Bad')

class Item(models.Model):
    status = models.CharField(default=Status.GOOD, max_length=128)"" > test_script.py","shell_other:echo from enum import Enum from django.utils.translation import gettext_lazy as _ from django.db import models class Status(Enum): GOOD = _('Good') BAD = _('Bad') class Item(models.Model): status = models.CharField(default=Status.GOOD, max_length=128) > test_script.py:6aadde1cffe9eef1",shell_other,UNSAFE,matched:>\s*[^&],false,[],[],a50f47af669460f3,trace_branch_step_fallback,true
django__django-11815:b1:tool3,django,b1,7,python manage.py makemigrations,python_inspect:python manage.py makemigrations:6a2452b607a8da8c,python_inspect,UNKNOWN,not_whitelisted,false,[],[],3d0f1e1e8f581fdf,trace_branch_step_fallback,true
django__django-11815:b1:tool4,django,b1,9,"cd ..
python manage.py makemigrations",python_inspect:cd .. python manage.py makemigrations:8aaa363c57bbae2d,python_inspect,UNKNOWN,not_whitelisted,false,[],[],918f9f407b89a80e,trace_branch_step_fallback,true
django__django-11815:b1:tool5,django,b1,11,ls -la,list_find:ls -la:1de700c29687cae3,list_find,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING""]",c3de79f947b134b0,trace_branch_step_fallback,true
django__django-11815:b1:tool6,django,b1,13,"python -m venv venv
source venv/bin/activate
pip install -e .",python_inspect:python -m venv venv source venv/bin/activate pip install -e .:a47c3a70b51c3108,python_inspect,UNSAFE,matched:\b(pip|uv|poetry|npm|pnpm|yarn)\s+(install|add|remove|publish|update|upgrade)\b,false,[],[],8354747fbcac8d20,trace_branch_step_fallback,true
django__django-11815:b1:tool7,django,b1,15,python manage.py makemigrations,python_inspect:python manage.py makemigrations:6a2452b607a8da8c,python_inspect,UNKNOWN,not_whitelisted,false,[],[],a10f631b8d484e8e,trace_branch_step_fallback,true
django__django-11815:b1:tool8,django,b1,17,ls -la,list_find:ls -la:1de700c29687cae3,list_find,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING""]",3d6be06d465f13f5,trace_branch_step_fallback,true
django__django-11815:b2:tool0,django,b2,1,"grep -r ""default=Status("" .",grep_search:grep -r default=Status( .:9279baa6a73713c4,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:default=Status(""]","[""GREP_INDEX""]",05bdf8e07d34bcbd,trace_branch_step_fallback,true
django__django-11815:b2:tool1,django,b2,3,"grep -r ""default=Status"" .",grep_search:grep -r default=Status .:d4f2273916f10e7f,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:default=Status""]","[""GREP_INDEX""]",7f4247fff320a6e3,trace_branch_step_fallback,true
django__django-11815:b2:tool2,django,b2,5,"grep -r ""Status\."" .",grep_search:grep -r Status\. .:dff15926d73d60b2,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:Status\\.""]","[""GREP_INDEX""]",30739c9d8803691f,trace_branch_step_fallback,true
django__django-11815:b2:tool3,django,b2,7,"find . -name ""*.py"" -exec sed -i 's/default=Status\(.*\)/default=Status.\1/g' {} +",file_read:find -exec -i -name . *.py sed s/default=Status\(.*\)/default=Status.\1/g {} +:266529e35eae7412,file_read,UNSAFE,matched:\bsed\s+-i\b,false,[],[],ce99171afe26bd7b,trace_branch_step_fallback,true
django__django-11815:b2:tool4,django,b2,9,"grep -r ""default=Status\."" .",grep_search:grep -r default=Status\. .:1809e785523638bb,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:default=Status\\.""]","[""GREP_INDEX""]",1ee0839c8be60719,trace_branch_step_fallback,true
django__django-11815:b2:tool5,django,b2,11,git diff --stat,git_read:git --stat diff:587b9039bebcafb5,git_read,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GIT_DIFF:.:*""]","[""GIT_DIFF""]",f37099417d759600,trace_branch_step_fallback,true
django__django-11815:b2:tool6,django,b2,13,echo COMPLETE_TASK_AND_SUBMIT_FINAL_OUTPUT && cat patch.txt,file_read:shell-chain:14dc06def76579e8,file_read,UNKNOWN,not_whitelisted,false,[],[],987fbfc766ab088f,trace_branch_step_fallback,true
django__django-11815:b2:tool7,django,b2,15,git diff > patch.txt,git_read:git diff > patch.txt:8d71c1aab48b1746,git_read,UNSAFE,matched:>\s*[^&],false,[],[],c0309c3eb8ac5e5e,trace_branch_step_fallback,true
django__django-11815:b2:tool8,django,b2,17,cat patch.txt,file_read:cat patch.txt:cb7e5fa551f9866a,file_read,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""FILE_CONTENT:patch.txt:*""]","[""FILE_CONTENT""]",f40870612cbc8489,trace_branch_step_fallback,true
django__django-11815:b2:tool9,django,b2,19,echo COMPLETE_TASK_AND_SUBMIT_FINAL_OUTPUT && cat patch.txt,file_read:shell-chain:14dc06def76579e8,file_read,UNKNOWN,not_whitelisted,false,[],[],b9560a97ad573da9,trace_branch_step_fallback,true
django__django-11815:b3:tool0,django,b3,1,"grep -r ""CharField"" .",grep_search:grep -r CharField .:b459910c3657fe64,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:CharField""]","[""GREP_INDEX""]",fe5b1f6a8eb0df89,trace_branch_step_fallback,true
django__django-11815:b3:tool1,django,b3,3,"grep -r ""makemigrations"" .",grep_search:grep -r makemigrations .:d98ce3f5068c79bd,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:makemigrations""]","[""GREP_INDEX""]",8ce5a3279bcbdb95,trace_branch_step_fallback,true
django__django-11815:b3:tool2,django,b3,5,"grep -r ""default="" .",grep_search:grep -r default= .:9d44bc87efdf5146,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:default=""]","[""GREP_INDEX""]",712ea485937ad5ad,trace_branch_step_fallback,true
django__django-11815:b3:tool3,django,b3,7,"grep -r ""default=Enum\["" .",grep_search:grep -r default=Enum\[ .:e00d39729fc7fdcb,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:default=Enum\\[""]","[""GREP_INDEX""]",d977446443bef912,trace_branch_step_fallback,true
django__django-11815:b3:tool4,django,b3,9,"grep -r ""default=Enum\["" /path/to/project",grep_search:grep -r default=Enum\[ /path/to/project:0ebf7304e7701661,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:/path/to/project:default=Enum\\[""]","[""GREP_INDEX""]",f538a16e9c92940c,trace_branch_step_fallback,true
django__django-11815:b3:tool5,django,b3,11,"grep -r ""default=Enum\["" .",grep_search:grep -r default=Enum\[ .:e00d39729fc7fdcb,grep_search,SAFE_READ_ONLY_EXACT,readonly_shell_chain,true,"[""GREP_INDEX:.:default=Enum\\[""]","[""GREP_INDEX""]",20b0ffb056504e6f,trace_branch_step_fallback,true
