trace,segment_type,repeated_context_tokens,total_context_tokens,tool_time_share,llm_time_share,branch_skew,resume_opportunity
data/raw_trajs/mini_swe_lite10_r4_timed/astropy__astropy-12907/rollout_3.traj.json,history,4309,5538,0.9041099113988545,0.09589008860114547,1,4309
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_0.traj.json,system,999,1110,0.17010313920632147,0.8298968607936785,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_0.traj.json,repo,17666,20128,0.17010313920632147,0.8298968607936785,1,17666
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_0.traj.json,history,7595,9772,0.17010313920632147,0.8298968607936785,1,7595
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_1.traj.json,system,888,999,0.6790892678166653,0.3209107321833346,1,888
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_1.traj.json,repo,16186,18582,0.6790892678166653,0.3209107321833346,1,16186
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_1.traj.json,history,3409,5434,0.6790892678166653,0.3209107321833346,1,3409
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_2.traj.json,system,999,1110,0.32631262040635645,0.6736873795936436,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_2.traj.json,repo,16843,19043,0.32631262040635645,0.6736873795936436,1,16843
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_2.traj.json,history,1634,1964,0.32631262040635645,0.6736873795936436,1,1634
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_3.traj.json,system,999,1110,0.188235817838285,0.811764182161715,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_3.traj.json,repo,76452,91668,0.188235817838285,0.811764182161715,1,76452
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11815/rollout_3.traj.json,history,120,150,0.188235817838285,0.811764182161715,1,120
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_0.traj.json,system,999,1110,0.3283225916210326,0.6716774083789674,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_0.traj.json,repo,30973,38278,0.3283225916210326,0.6716774083789674,1,30973
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_0.traj.json,history,522,638,0.3283225916210326,0.6716774083789674,1,522
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_1.traj.json,system,999,1110,0.5324796747377557,0.4675203252622443,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_1.traj.json,repo,28487,33148,0.5324796747377557,0.4675203252622443,1,28487
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_1.traj.json,history,1388,1951,0.5324796747377557,0.4675203252622443,1,1388
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_1.traj.json,test_log,89,178,0.5324796747377557,0.4675203252622443,1,89
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_2.traj.json,system,999,1110,0.31344065393202575,0.6865593460679742,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_2.traj.json,repo,36204,43723,0.31344065393202575,0.6865593460679742,1,36204
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_2.traj.json,history,609,783,0.31344065393202575,0.6865593460679742,1,609
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_3.traj.json,system,777,888,0.2846450347950193,0.7153549652049808,1,777
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_3.traj.json,repo,12140,14165,0.2846450347950193,0.7153549652049808,1,12140
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/rollout_3.traj.json,history,391,529,0.2846450347950193,0.7153549652049808,1,391
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_0.traj.json,system,999,1110,0.22491268092414932,0.7750873190758507,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_0.traj.json,repo,20325,23140,0.22491268092414932,0.7750873190758507,1,20325
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_0.traj.json,history,6102,8070,0.22491268092414932,0.7750873190758507,1,6102
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_1.traj.json,system,999,1110,0.6801381958510145,0.31986180414898546,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_1.traj.json,repo,19633,22319,0.6801381958510145,0.31986180414898546,1,19633
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_1.traj.json,history,5894,8568,0.6801381958510145,0.31986180414898546,1,5894
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_2.traj.json,system,999,1110,0.2513166715717704,0.7486833284282296,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_2.traj.json,repo,77046,106199,0.2513166715717704,0.7486833284282296,1,77046
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_2.traj.json,history,6977,7987,0.2513166715717704,0.7486833284282296,1,6977
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_3.traj.json,system,999,1110,0.19874667385112457,0.8012533261488755,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_3.traj.json,repo,24782,32817,0.19874667385112457,0.8012533261488755,1,24782
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11964/rollout_3.traj.json,history,6973,8337,0.19874667385112457,0.8012533261488755,1,6973
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_0.traj.json,system,999,1110,0.17584160738890223,0.8241583926110978,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_0.traj.json,repo,31132,38609,0.17584160738890223,0.8241583926110978,1,31132
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_0.traj.json,history,10901,12650,0.17584160738890223,0.8241583926110978,1,10901
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_1.traj.json,system,999,1110,0.15629450676408688,0.8437054932359132,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_1.traj.json,repo,47680,58154,0.15629450676408688,0.8437054932359132,1,47680
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_1.traj.json,patch,16338,18672,0.15629450676408688,0.8437054932359132,1,16338
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_1.traj.json,history,4304,5492,0.15629450676408688,0.8437054932359132,1,4304
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_2.traj.json,system,999,1110,0.21599968880720938,0.7840003111927907,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_2.traj.json,repo,17248,19795,0.21599968880720938,0.7840003111927907,1,17248
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_2.traj.json,history,739,926,0.21599968880720938,0.7840003111927907,1,739
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_3.traj.json,system,999,1110,0.3555601379736297,0.6444398620263703,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_3.traj.json,repo,16609,18978,0.3555601379736297,0.6444398620263703,1,16609
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11999/rollout_3.traj.json,history,546,694,0.3555601379736297,0.6444398620263703,1,546
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_0.traj.json,system,999,1110,0.20566970983241636,0.7943302901675836,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_0.traj.json,repo,17537,19994,0.20566970983241636,0.7943302901675836,1,17537
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_0.traj.json,history,14564,19177,0.20566970983241636,0.7943302901675836,1,14564
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_1.traj.json,system,999,1110,0.18812166719833634,0.8118783328016637,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_1.traj.json,repo,21391,24556,0.18812166719833634,0.8118783328016637,1,21391
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_1.traj.json,history,7507,8732,0.18812166719833634,0.8118783328016637,1,7507
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_2.traj.json,system,999,1110,0.7896087427920977,0.2103912572079023,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_2.traj.json,repo,16859,19019,0.7896087427920977,0.2103912572079023,1,16859
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_2.traj.json,history,7140,9585,0.7896087427920977,0.2103912572079023,1,7140
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_3.traj.json,system,999,1110,0.9638959018238983,0.03610409817610174,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_3.traj.json,repo,19768,23063,0.9638959018238983,0.03610409817610174,1,19768
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12125/rollout_3.traj.json,history,652,770,0.9638959018238983,0.03610409817610174,1,652
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_0.traj.json,system,888,999,0.273680089897985,0.726319910102015,1,888
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_0.traj.json,repo,19281,23378,0.273680089897985,0.726319910102015,1,19281
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_0.traj.json,history,687,849,0.273680089897985,0.726319910102015,1,687
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_1.traj.json,system,999,1110,0.28507998006028784,0.7149200199397121,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_1.traj.json,repo,33972,42419,0.28507998006028784,0.7149200199397121,1,33972
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_1.traj.json,history,783,957,0.28507998006028784,0.7149200199397121,1,783
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_2.traj.json,system,999,1110,0.7457865916493754,0.25421340835062456,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_2.traj.json,repo,15438,17753,0.7457865916493754,0.25421340835062456,1,15438
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_2.traj.json,history,3618,5339,0.7457865916493754,0.25421340835062456,1,3618
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_3.traj.json,system,999,1110,0.7620530616598747,0.23794693834012523,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_3.traj.json,repo,27306,31319,0.7620530616598747,0.23794693834012523,1,27306
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/rollout_3.traj.json,history,11732,17547,0.7620530616598747,0.23794693834012523,1,11732
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_0.traj.json,system,888,999,0.21651474170679297,0.783485258293207,1,888
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_0.traj.json,repo,14999,17325,0.21651474170679297,0.783485258293207,1,14999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_0.traj.json,history,1800,3575,0.21651474170679297,0.783485258293207,1,1800
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_1.traj.json,system,999,1110,0.2501213149448755,0.7498786850551244,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_1.traj.json,repo,40461,46494,0.2501213149448755,0.7498786850551244,1,40461
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_1.traj.json,history,1548,2654,0.2501213149448755,0.7498786850551244,1,1548
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_2.traj.json,system,888,999,0.24132101397106057,0.7586789860289395,1,888
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_2.traj.json,repo,15353,17630,0.24132101397106057,0.7586789860289395,1,15353
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_2.traj.json,history,1035,1306,0.24132101397106057,0.7586789860289395,1,1035
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_3.traj.json,system,999,1110,0.1974971387575273,0.8025028612424727,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_3.traj.json,repo,44473,50410,0.1974971387575273,0.8025028612424727,1,44473
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/rollout_3.traj.json,history,2301,3398,0.1974971387575273,0.8025028612424727,1,2301
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_0.traj.json,system,999,1110,0.3031778991608693,0.6968221008391308,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_0.traj.json,repo,19637,22117,0.3031778991608693,0.6968221008391308,1,19637
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_0.traj.json,history,2581,4601,0.3031778991608693,0.6968221008391308,1,2581
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_1.traj.json,system,999,1110,0.6287977428014372,0.3712022571985628,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_1.traj.json,repo,38937,49444,0.6287977428014372,0.3712022571985628,1,38937
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_1.traj.json,history,546,768,0.6287977428014372,0.3712022571985628,1,546
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_2.traj.json,system,999,1110,0.4837765779746809,0.5162234220253191,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_2.traj.json,repo,35356,41235,0.4837765779746809,0.5162234220253191,1,35356
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_2.traj.json,history,561,746,0.4837765779746809,0.5162234220253191,1,561
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_3.traj.json,system,888,999,0.2629729342675578,0.7370270657324421,1,888
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_3.traj.json,repo,22323,25953,0.2629729342675578,0.7370270657324421,1,22323
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13028/rollout_3.traj.json,history,319,406,0.2629729342675578,0.7370270657324421,1,319
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_0.traj.json,system,999,1110,0.19458712232634576,0.8054128776736542,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_0.traj.json,repo,39191,47508,0.19458712232634576,0.8054128776736542,1,39191
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_0.traj.json,history,11887,14136,0.19458712232634576,0.8054128776736542,1,11887
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_1.traj.json,system,999,1110,0.2286214607961635,0.7713785392038365,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_1.traj.json,repo,22823,25634,0.2286214607961635,0.7713785392038365,1,22823
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_1.traj.json,history,10985,12766,0.2286214607961635,0.7713785392038365,1,10985
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_2.traj.json,system,999,1110,0.2849347375277897,0.7150652624722104,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_2.traj.json,repo,24189,27354,0.2849347375277897,0.7150652624722104,1,24189
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_2.traj.json,history,7656,10038,0.2849347375277897,0.7150652624722104,1,7656
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_3.traj.json,system,999,1110,0.22095408610269246,0.7790459138973076,1,999
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_3.traj.json,repo,37899,43268,0.22095408610269246,0.7790459138973076,1,37899
data/raw_trajs/mini_swe_lite10_r4_timed/django__django-13033/rollout_3.traj.json,history,12581,15399,0.22095408610269246,0.7790459138973076,1,12581
data/raw_trajs/mini_swe_lite5_patchcap/django__django-11848/rollout_0.traj.json,system,2744,2940,0.20377805516332612,0.7962219448366739,1,2744
data/raw_trajs/mini_swe_lite5_patchcap/django__django-11848/rollout_0.traj.json,repo,32817,36819,0.20377805516332612,0.7962219448366739,1,32817
data/raw_trajs/mini_swe_lite5_patchcap/django__django-11848/rollout_0.traj.json,history,3114,3635,0.20377805516332612,0.7962219448366739,1,3114
data/raw_trajs/mini_swe_lite5_patchcap/django__django-11964/rollout_0.traj.json,system,2744,2940,0.172859611442781,0.827140388557219,1,2744
data/raw_trajs/mini_swe_lite5_patchcap/django__django-11964/rollout_0.traj.json,repo,96367,120714,0.172859611442781,0.827140388557219,1,96367
data/raw_trajs/mini_swe_lite5_patchcap/django__django-11964/rollout_0.traj.json,history,39423,43601,0.172859611442781,0.827140388557219,1,39423
data/raw_trajs/mini_swe_lite5_patchcap/django__django-12308/rollout_0.traj.json,system,2744,2940,0.25255634415107775,0.7474436558489223,1,2744
data/raw_trajs/mini_swe_lite5_patchcap/django__django-12308/rollout_0.traj.json,repo,38594,43349,0.25255634415107775,0.7474436558489223,1,38594
data/raw_trajs/mini_swe_lite5_patchcap/django__django-12308/rollout_0.traj.json,history,11795,13974,0.25255634415107775,0.7474436558489223,1,11795
data/raw_trajs/mini_swe_lite5_patchcap/django__django-12708/rollout_0.traj.json,system,2744,2940,0.22908021787684682,0.7709197821231532,1,2744
data/raw_trajs/mini_swe_lite5_patchcap/django__django-12708/rollout_0.traj.json,repo,26128,28452,0.22908021787684682,0.7709197821231532,1,26128
data/raw_trajs/mini_swe_lite5_patchcap/django__django-12708/rollout_0.traj.json,history,32245,38034,0.22908021787684682,0.7709197821231532,1,32245
data/raw_trajs/mini_swe_lite5_patchcap/django__django-13028/rollout_0.traj.json,system,2744,2940,0.16957106248358486,0.8304289375164151,1,2744
data/raw_trajs/mini_swe_lite5_patchcap/django__django-13028/rollout_0.traj.json,repo,95191,104035,0.16957106248358486,0.8304289375164151,1,95191
data/raw_trajs/mini_swe_lite5_patchcap/django__django-13028/rollout_0.traj.json,history,26840,31582,0.16957106248358486,0.8304289375164151,1,26840
